User-ID,Location,Age
243,"arden hills, minnesota, usa",
254,"minneapolis, minnesota, usa",24.0
507,"dumas, arkansas, usa",
638,"san diego, california, usa",20.0
805,"sonoma, california, usa",34.0
882,"berkeley, california, usa",23.0
929,"king of prussia, ,",36.0
1131,"berkeley, ,",22.0
1424,"north avoca, new south wales, australia",
1435,"st. louis, missouri, usa",36.0
1733,"independence, west virginia, usa",30.0
1848,"bellingham, washington, usa",22.0
1903,"hualien, taiwan, taiwan",36.0
2033,"omaha, nebraska, usa",27.0
2110,"charlotte, north carolina, usa",
2276,"niskayuna, new york, usa",46.0
2358,"bryan, texas, usa",23.0
2766,"frisco, texas, usa",42.0
2793,"jefferson, georgia, usa",34.0
2891,"beaverton, oregon, usa",
2977,"richland, washington, usa",25.0
3145,"austin, texas, usa",34.0
3167,"milwaukee, wisconsin, usa",42.0
3363,"knoxville, tennessee, usa",29.0
3371,"groveland, massachusetts, usa",25.0
3373,"elk grove, california, usa",30.0
3556,"bismarck, north dakota, usa",68.0
3827,"orlando, florida, usa",23.0
4017,"new orleans, louisiana, usa",48.0
4157,"birmingham, alabama, usa",39.0
4622,"norfolk, virginia, usa",18.0
5439,"houston, texas, usa",66.0
5476,"chester, ,",
5483,"bayan lepas, penang, malaysia",20.0
5539,"austin, texas, usa",32.0
5582,"seattle, washington, usa",26.0
5609,"oradea, bihor, romania",25.0
5903,"vienna, vienna, austria",25.0
6073,"houston, texas, usa",28.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6323,"wilmington, north carolina, usa",35.0
6543,"strafford, missouri, usa",34.0
6563,"burien, washington, usa",31.0
6575,"seattle, washington, usa",
6772,"calgary, ,",
6900,"sunnyvale, california, usa",25.0
7125,"apo, ae, usa",28.0
7158,"omaha, nebraska, usa",30.0
7210,"rothesay, new brunswick, canada",
7283,"saint marys, georgia, usa",30.0
7286,"pasco, washington, usa",28.0
7312,"walnut ridge, arkansas, usa",23.0
7346,"sunnyvale, california, usa",49.0
7569,"tulsa, , usa",22.0
7887,"altoona, pennsylvania, usa",23.0
7915,"st. paul, minnesota, usa",
8019,"toronto, ontario, canada",
8066,"chicago, illinois, usa",
8067,"owings mills, maryland, usa",26.0
8234,"colorado springs, colorado, usa",44.0
8245,"torrance, california, usa",31.0
8253,"tulsa, oklahoma, usa",26.0
8284,"manchester, kentucky, usa",28.0
8362,"los angeles, california, usa",28.0
8454,"auburndale, massachusetts, usa",
8487,"carrollton, texas, usa",30.0
8681,"orlando, florida, usa",34.0
8734,"chula vista, california, usa",
8870,"austin, texas, usa",45.0
8936,"elizabeth city, north carolina, usa",18.0
9141,"durango, colorado, usa",65.0
9417,"whitby, ontario, canada",26.0
9613,"collings lakes, new jersey, usa",34.0
9747,"o`fallon, missouri, usa",
9856,"glendale, colorado, usa",22.0
9908,"woodstock, georgia, usa",36.0
10030,"pittsburgh, pennsylvania, usa",66.0
10118,"minneapolis, minnesota, usa",44.0
10314,"beaverton, oregon, usa",
10354,"martinsburg, west virginia, usa",15.0
10447,"chicago, illinois, usa",
10560,"chicago, illinois, usa",27.0
10819,"richmond, kentucky, usa",27.0
11120,"kerava, uusimaa, finland",58.0
11224,"tumwater, washington, usa",51.0
11245,"scarborough, ontario, canada",
11400,"ottawa, ontario, canada",49.0
11601,"brooklyn, new york, usa",
11629,"houston, texas, usa",21.0
11676,"n/a, n/a, n/a",
11724,"west lawn, pennsylvania, usa",42.0
11993,"lakewood, colorado, usa",37.0
12194,"redford, michigan, usa",
12538,"byron, minnesota, usa",18.0
12569,"selangor, subang jaya, malaysia",22.0
12824,"long beach, california, usa",18.0
12982,"getxo, vizcaya, spain",41.0
13082,"bellwood, pennsylvania, usa",
13093,"zaragoza, aragon, spain",29.0
13518,"fishers, indiana, usa",27.0
13540,"doha, doha, qatar",15.0
13552,"cordova, tennessee, usa",32.0
13582,"lisboa, lisboa, portugal",29.0
13850,"online, n/a, usa",28.0
13935,"lancaster, pennsylvania, usa",36.0
13995,"adelaide, south australia, australia",
14374,"porter, maine, usa",57.0
14387,"coalville, leicestershire, england, united kingdom",35.0
14422,"apple valley, minnesota, usa",
14456,"edmonton, alberta, canada",27.0
14521,"providence, rhode island, usa",
14638,"roquemaure, languedoc roussillon, france",33.0
14667,"rocky mount, missouri, usa",
14768,"corvallis, oregon, usa",24.0
14897,"shiki, saitama, japan",24.0
15049,"benbrook, texas, usa",28.0
15408,"cary, north carolina, usa",34.0
15418,"vitoria, Ã¡lava, spain",23.0
15497,"fresno, california, usa",38.0
15602,"cherry hill, new jersey, usa",21.0
15651,"springfield, missouri, usa",23.0
15819,"grapevine, texas, usa",
15957,"sydney, new south wales, australia",27.0
16106,"albany, california, usa",44.0
16155,"kuala lumpur, , malaysia",47.0
16246,"kitakyushu, fukuoka, japan",32.0
16263,"ashland, wisconsin, usa",
16413,"austin, texas, usa",
16488,"milwaukee, wisconsin, usa",36.0
16601,"brewster, new york, usa",40.0
16634,"little rock, arkansas, usa",42.0
16718,"houston, texas, usa",29.0
16721,"leduc, alberta, canada",
16795,"mechanicsville, maryland, usa",47.0
16916,"hackettstown, new jersey, usa",53.0
16943,"sydney, new south wales, australia",
16966,"waterloo, ontario, canada",41.0
16996,"stratford, iowa, usa",23.0
17003,"carlsbad, california, usa",
17190,"woodstock, georgia, usa",31.0
17282,"irwin, pennsylvania, usa",38.0
17667,"iowa city, iowa, usa",33.0
17761,"pinckney, michigan, usa",
17859,"roanoke, virginia, usa",43.0
17894,"alabaster, alabama, usa",47.0
17950,"puchong, selangor, malaysia",32.0
18067,"kajang, selangor, malaysia",33.0
18082,"southern, california, usa",38.0
18172,"levittown, pennsylvania, usa",36.0
18401,"chicago, illinois,",
19085,"menomonie, wisconsin, usa",60.0
19493,"baldwin, ,",
19522,"candler, north carolina, usa",54.0
19664,"katonah, new york, usa",19.0
19711,"katy, texas, usa",
19842,"***********, illinois, usa",
20060,"baltimore, maryland, usa",48.0
20115,"lansdale, pennsylvania, usa",32.0
20119,"manchester, new hampshire,",51.0
20172,"saratoga springs, utah, usa",27.0
20180,"sacramento, california, usa",36.0
20201,"grove city, ohio, usa",31.0
20336,"ballston spa, new york, usa",32.0
20462,"bossier city, louisiana, usa",
20971,"sacramento, california, usa",20.0
21011,"san francisco, california, usa",44.0
21014,"fresno, california, usa",
21031,"alexandria, virginia, usa",36.0
21252,"duluth, minnesota, usa",28.0
21356,"westwood, new jersey, usa",56.0
21364,"san diego, california, usa",32.0
21404,"west vancouver, british columbia, canada",
21484,"madison, wisconsin, usa",21.0
21576,"memphis, tennessee, usa",31.0
21618,"atlanta, georgia, usa",24.0
21659,"san jose, california, usa",31.0
22074,"san luis obispo, california, usa",
22521,"montgomery, alabama, usa",18.0
22625,"lynbrook, new york, usa",54.0
22818,"franklin, pennsylvania, usa",28.0
23288,"wolseley, saskatchewan, canada",
23511,"chapel hill, north carolina, usa",56.0
23571,"burbank, california, usa",41.0
23680,"carmichael, ,",
23699,"minneapolis, minnesota, usa",25.0
23768,"st. louis, missouri, usa",45.0
23871,"pompano beach, florida, usa",
23872,"tulsa, oklahoma, usa",22.0
23902,"london, england, united kingdom",
24194,"palos hills, illinois, usa",20.0
24433,"deventer, overijssel, netherlands",37.0
24539,"cabrils, catalunya, spain",
24544,"orlando, florida, usa",40.0
24921,"higley, arizona, usa",29.0
24933,"long island, new york, usa",44.0
24934,"marshfield, massachusetts, usa",
25131,"grimes, iowa, usa",
25395,"moyock, north carolina, usa",65.0
25409,"la mesa, california, usa",31.0
25533,"derby, derbyshire, united kingdom",38.0
25601,"gilbert, arizona, usa",41.0
25981,"nj, new jersey, usa",
26057,"halifax, nova scotia, canada",18.0
26084,"tuscaloosa, alabama, usa",21.0
26240,"sacramento, california, usa",
26516,"victor, montana, usa",67.0
26517,"dallas, north carolina, usa",
26535,"hickory, mississippi, usa",41.0
26544,"woodbridge, virginia, usa",37.0
26593,"peoria, arizona, usa",
26620,"napa, california,",
26621,"haskell, new jersey, usa",
26883,"vienna, vienna, austria",
27140,"baltimore, maryland, usa",49.0
27462,"lima, ohio, usa",
27472,"bountiful, utah, usa",41.0
27617,"beaverton, ontario, canada",32.0
27647,"lisboa, lisboa, portugal",
27740,"san diego, , usa",57.0
27788,"picton, marlborough, new zealand",
27812,"long beach, california, usa",33.0
27813,"boerne, texas, usa",34.0
27947,"lima, ohio, usa",28.0
28177,"grand rapids, michigan, usa",26.0
28204,"south ohio, nova scotia, canada",61.0
28360,"oakwood, georgia, usa",15.0
28451,"altamonte springs, florida, usa",31.0
28523,"springfield, missouri, usa",24.0
28591,"michie, tennessee, usa",33.0
28619,"hartford, connecticut, usa",
28634,"bad axe, michigan, usa",28.0
28666,"irving, texas, usa",31.0
28877,"modesto, california, usa",68.0
29101,"bolivar, missouri, usa",38.0
29209,"boca raton, florida, usa",
29259,"mt. airy, , usa",39.0
29526,"knoxville, tennessee, usa",26.0
29806,"bonita springs, florida, usa",
29855,"morris, connecticut, usa",53.0
29915,"fullerton, california, usa",38.0
30029,"simi valley, california, usa",37.0
30035,"vancouver, british columbia, canada",37.0
30072,"st. louis, missouri, usa",11.0
30081,"east providence, rhode island, usa",25.0
30261,"manchester, missouri, usa",27.0
30273,"naples, florida, usa",25.0
30276,"wildwood, new jersey, usa",49.0
30487,"newbury park, california, usa",40.0
30511,"culemborg, gelderland, netherlands",
30533,"charleston, south carolina, usa",
30711,"sydney, new south wales, australia",32.0
30716,"new york, new york, usa",23.0
30735,"corvallis, oregon, usa",
30744,"gainesville, georgia, usa",31.0
30806,"halifax, nova scotia, canada",24.0
30824,"saint paul, minnesota, usa",45.0
30898,"richmond, virginia, usa",43.0
30972,"columbiana, alabama, usa",47.0
30985,"cape coral, florida, usa",
30994,"mission hills, california, usa",
31040,"san ramon, california, usa",
31050,"woodbine, maryland, usa",
31226,"sofia, n/a, bulgaria",33.0
31308,"san jose, california, usa",38.0
31315,"henryville, indiana, usa",34.0
31391,"wilmington, massachusetts, usa",38.0
31393,"portland, oregon, usa",
31466,"kingsville, ontario, canada",26.0
31556,"chula vista, california, usa",51.0
31652,"annandale, virginia, usa",
31826,"jasper, missouri, usa",54.0
31846,"phoenix, , usa",
31919,"skokie, illinois, usa",52.0
31987,"tacoma, washington, usa",36.0
32122,"south daytona, florida, usa",24.0
32148,"edmonton, alberta, canada",
32195,"fall river, massachusetts, usa",
32250,"gta, ontario, canada",29.0
32440,"dunedin, otago, new zealand",
32516,"st. rose, louisiana, usa",44.0
32627,"casper, wyoming, usa",49.0
32721,"toulouse, haute-garonne, france",36.0
32773,"olathe, kansas, usa",28.0
32793,"quebec, quebec, canada",22.0
32802,"courtenay, british columbia, canada",
33124,"london, ontario, canada",
33319,"calgary, alberta, canada",24.0
33580,"rockwell, north carolina, usa",27.0
33614,"southaven, mississippi, usa",36.0
33816,"richmond hill, ontario, canada",33.0
33818,"winnipeg, manitoba, canada",29.0
33832,"sterling, virginia, usa",
33974,"barnhart, missouri, usa",24.0
33999,"pittsburgh, pennsylvania, usa",51.0
34300,"burlington, ontario, canada",35.0
34377,"kelowna, british columbia, canada",54.0
34523,"kalamazoo, michigan, usa",
34588,"west linn, oregon, usa",
35050,"west columbia, south carolina, usa",33.0
35836,"rochester, new york, usa",34.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",
35918,"reno, nevada, usa",
36003,"shah alam, selangor, malaysia",26.0
36135,"charleston, south carolina, usa",
36256,"amarillo, texas, usa",39.0
36299,"austin, texas, usa",50.0
36327,"wirtz, virginia, usa",
36606,"san marcos, california, usa",39.0
36609,"zachary, louisiana, usa",32.0
36673,"hudson, new hampshire, usa",48.0
36715,"lexington, kentucky, usa",
36749,"newton, mississippi, usa",
36807,"wisconsin rapids, wisconsin, usa",27.0
36817,"south hadley, massachusetts, usa",29.0
36836,"raleigh, north carolina, usa",56.0
36907,"dunnville, ontario, canada",39.0
37019,"sunnyvale, california, usa",
37022,"winamac, indiana, usa",
37208,"mesa, arizona, usa",30.0
37293,"whitehorse, yukon territory, canada",41.0
37311,"oroville, california, usa",
37400,"portland, oregon, usa",27.0
37493,"auxvasse, missouri, usa",
37512,"tulsa, oklahoma, usa",27.0
37538,"kuala lumpur, n/a, malaysia",
37556,"wilton, maine, usa",
37567,"medway, kent, united kingdom",36.0
37644,"sudbury, massachusetts, usa",18.0
37712,"cincinnati, ohio, usa",23.0
37874,"williamsburg, virginia, usa",43.0
37950,"calgary, alberta, canada",
37974,"rochester, new york, usa",
38023,"hayward, california, usa",30.0
38229,"newport beach, california, usa",23.0
38273,"chandler, arizona, usa",
38281,"barcelona, catalunya, spain",33.0
38464,"tharston, norwich, england, united kingdom",33.0
38544,"newark, delaware, usa",34.0
38556,"edmonton, alberta, canada",
38781,"kingsville, texas, usa",31.0
38802,"helsinki, uusimaa, finland",23.0
38933,"san diego, california, usa",37.0
38995,"woodbine, maryland, usa",44.0
39195,"three rivers, ,",38.0
39227,"san diego, california, usa",37.0
39281,"morris plains, new jersey, usa",45.0
39345,"jacksonville, florida, usa",47.0
39441,"boulder, colorado, usa",26.0
39467,"barcelona, catalunya, spain",35.0
39502,"kirkwood, missouri, usa",56.0
39513,"red deer, alberta, canada",
39584,"auburn, alabama, usa",32.0
39616,"las vegas, nevada, usa",38.0
39646,"fairless hills, pennsylvania, usa",35.0
39705,"bel air, maryland, usa",25.0
39773,"miami, florida, usa",49.0
40330,"germantown, maryland, usa",
40415,"san francisco, california, usa",34.0
40553,"st. cloud, minnesota, usa",
40796,"memphis, tennessee, usa",
40798,"st. louis, missouri, usa",
40889,"brainerd, minnesota, usa",37.0
40914,"phoenix, arizona, usa",28.0
40943,"oklahoma city, oklahoma, usa",40.0
41057,"nanaimo, british columbia, canada",51.0
41084,"orlando, florida, usa",36.0
41086,"san jose, california, usa",42.0
41177,"austin, texas, usa",38.0
41455,"toronto, ontario, canada",
41589,"bellingham, washington, usa",51.0
41667,"cotati, california, usa",
41757,"calgary, alberta, canada",58.0
41781,"clinton twp., michigan, usa",54.0
41841,"sherwood park, alberta, canada",
42093,"fair haven, new jersey, usa",50.0
42458,"north york, ontario, canada",47.0
42466,"toronto, ontario, canada",38.0
42914,"clarksville, indiana, usa",26.0
42948,"fredericton, ,",42.0
43163,"kalamazoo, michigan, usa",21.0
43246,"toronto, ontario, canada",36.0
43481,"bridgewater, connecticut, usa",57.0
43619,"shrewsbury, massachusetts, usa",26.0
43687,"sacramento, california, usa",27.0
43806,"delano, minnesota, usa",31.0
43842,"tucson, ,",
43910,"granada hills, california, usa",43.0
44296,"sydney, new south wales, australia",26.0
44595,"toronto, ontario, canada",39.0
44647,"lake george, minnesota, usa",54.0
44728,"florence, alabama, usa",31.0
44845,"dallas, texas, usa",29.0
44852,"spring, texas, usa",39.0
44893,"alexandria, virginia, usa",
44925,"farnborough, england, united kingdom",33.0
45107,"montgomery twp, pennsylvania, usa",
45315,"ada, michigan, usa",
45383,"elizabethtown, pennsylvania, usa",51.0
45557,"flossmoor, illinois, usa",33.0
46269,"recife, pernambuco, brazil",26.0
46398,"san antonio, texas, usa",37.0
46443,"asheville, north carolina, usa",14.0
46907,"marysville, washington, usa",
46909,"howell, new jersey, usa",31.0
47117,"houston, texas, usa",34.0
47128,"elmhurst, illinois, usa",33.0
47316,"comanche, texas, usa",
47594,"scottsdale, arizona, usa",52.0
47609,"lubbock, texas, usa",34.0
47971,"toronto, ontario, canada",40.0
48025,"concordia, missouri, usa",43.0
48046,"central sq., new york, usa",
48057,"toronto, ontario, canada",
48268,"vienna, vienna, austria",18.0
48355,"florence, arizona, usa",35.0
48494,"lemon grove, california, usa",51.0
48579,"cleveland, oklahoma, usa",24.0
48743,"freeport, ,",
48975,"beaver dams, new york, usa",
49109,"west jordan, utah, usa",38.0
49154,"thibodaux, louisiana, usa",41.0
49212,"san francisco, california, usa",38.0
49314,"decatur, georgia, usa",
49422,"regensburg, bayern, germany",
49460,"., kansas, usa",37.0
49771,"san antonio, texas,",35.0
49842,"staten island, new york, usa",40.0
49889,"orem, utah, usa",
49900,"catonsville, maryland, usa",48.0
49980,"new hartford, new york, usa",27.0
50073,"south portland, maine, usa",
50204,"lebanon, pennsylvania, usa",36.0
50225,"fresno, california, usa",
50547,"toronto, ontario, canada",32.0
50550,"southaven, mississippi, usa",
50730,"mcallen, texas, usa",
50895,"calverton, new york, usa",
51082,"columbus, ohio, usa",30.0
51094,"milton, ontario, canada",
51192,"milwaukee, wisconsin, usa",48.0
51252,"yucca valley, california, usa",
51350,"monroe, ,",
51365,"shelbyville, kentucky, usa",48.0
51386,"adrian, michigan, usa",41.0
51450,"lawrenceville, georgia, usa",54.0
51526,"long beach, california, usa",34.0
51571,"phoenix, arizona, usa",49.0
51742,"brooklyn, new york, usa",
51803,"brantford, ontario, canada",34.0
51883,"jasper, missouri, usa",31.0
51992,"west fairlee, vermont, usa",43.0
52002,"bloomington, indiana, usa",
52159,"richmond, california, usa",49.0
52199,"houston, texas, usa",47.0
52350,"lisboa, n/a, portugal",31.0
52521,"safety harbor, florida, usa",38.0
52584,"livermore, california, usa",45.0
52614,"toccoa, ga., usa",33.0
52853,"yuba city, california, usa",61.0
52917,"bellevue, washington, usa",42.0
53174,"orlando, florida, usa",29.0
53220,"fullerton, california, usa",36.0
53241,"hillsborough, new jersey, usa",
53256,"sterlington, louisiana, usa",21.0
53278,"toronto, ontario, canada",34.0
53392,"minneapolis, minnesota, usa",34.0
53418,"puyallup, washington, usa",28.0
53430,"minneapolis, minnesota, usa",25.0
53456,"ne portland, oregon,",
53590,"thalwil, zurich, switzerland",40.0
53614,"barreiro, barreiro, portugal",30.0
53628,"brest, bretagne, france",22.0
53729,"balingup, western australia, australia",
53846,"bloomington, indiana, usa",55.0
54193,"bartlesville, oklahoma, usa",27.0
54218,"kaiserslautern, rheinland-pfalz, germany",27.0
54335,"north haven, connecticut, usa",43.0
54453,"boise, idaho, usa",
54622,"kuala lumpur, federal territory, malaysia",
54884,"nashua, new hampshire, usa",33.0
55006,"calgary, alberta, canada",34.0
55075,"seattle, washington, usa",33.0
55178,"moore, oklahoma, usa",25.0
55187,"torrance, california, usa",48.0
55202,"seattle, , usa",
55203,"mendon, massachusetts, usa",57.0
55438,"lexington, kentucky, usa",42.0
55487,"clearwater, florida, usa",37.0
55490,"rapid city, south dakota, usa",25.0
55492,"antioch, illinois, usa",43.0
55493,"chatham, ontario, canada",35.0
55548,"chamblee, georgia, usa",
55607,"washington, dc, usa",
55734,"calgary, alberta, canada",37.0
55751,"hesperia, california, usa",
55799,"scarborough, ontario, canada",
55858,"dartmouth, nova scotia, canada",28.0
55892,"plantersville, texas, usa",45.0
55927,"roscoe, minnesota, usa",17.0
56307,"el segundo, california, usa",
56391,"tijeras, nm, usa",40.0
56399,"n/a, surrey, united kingdom",63.0
56447,"sturgis, michigan, usa",22.0
56554,"rural hall, north carolina, usa",39.0
56661,"green, ohio, usa",
56856,"escondido, california, usa",23.0
56959,"monroe twp., new jersey, usa",52.0
57006,"lawton, oklahoma, usa",30.0
57105,"roswell, georgia, usa",32.0
57108,"new york, new york, usa",38.0
57398,"tigard, oregon, usa",39.0
57449,"rudersberg, baden-wÃ¼rttemberg, germany",29.0
57599,"portland, oregon, usa",27.0
57725,"wilmington, delaware, usa",43.0
58594,"baltimore, maryland, usa",33.0
58612,"douglasville, georgia, usa",54.0
58911,"batavia, new york, usa",58.0
59038,"san antonio, texas, usa",28.0
59150,"victoria, british columbia, canada",37.0
59172,"owen sound, ontario, canada",36.0
59189,"houston, texas, usa",33.0
59209,"markham, ontario, canada",41.0
59269,"indianapolis, indiana, usa",
59390,"uniontown, pennsylvania, usa",
59727,"plano, texas, usa",24.0
59912,"pasadena, california, usa",27.0
59971,"kingwood, texas, usa",27.0
60041,"okemos, michigan, usa",29.0
60050,"brooklyn, new york, usa",40.0
60168,"warrenton, missouri, usa",
60244,"alvin, texas, usa",47.0
60263,"middletown, delaware, usa",52.0
60277,"boston, massachusetts, usa",
60278,"thousand oaks, california, usa",
60319,"haddonfield, new jersey, usa",
60337,"st. marys, georgia, usa",50.0
60392,"bardonia, new york, usa",43.0
60475,"norfolk, virginia, usa",
60569,"chardon, ohio, usa",41.0
60583,"antioch, illinois, usa",
60621,"edwardsville, illinois, usa",57.0
60707,"manchester, new hampshire, usa",38.0
60858,"sacramento, california, usa",25.0
61028,"charleston, south carolina, usa",50.0
61038,"riverside public library, illinois, usa",53.0
61107,"jamaica plain, massachusetts, usa",41.0
61147,"ebensee, oberoesterreich, austria",44.0
61211,"walnut creek, california, usa",65.0
61427,"morgan hill, california, usa",
61619,"coburg, oregon, usa",
61668,"dayton, maine, usa",41.0
61854,"boulder city, nevada, usa",
61901,"tucson, arizona, usa",63.0
61910,"las cruces, new mexico, usa",44.0
62193,"shingletown, california, usa",
62239,"yarmouth, nova scotia, canada",9.0
62272,"lake mary, florida, usa",30.0
62464,"el cajon, california, usa",26.0
62542,"cudahy, wisconsin, usa",40.0
62558,"rochester, minnesota, usa",
62755,"dublin, texas, usa",50.0
62862,"new milford, connecticut, usa",47.0
62881,"milwaukee, wisconsin, usa",39.0
62891,"hi nella, new jersey, usa",27.0
62895,"chesterfield, derbyshire, united kingdom",39.0
62966,"fairfax, virginia, usa",23.0
63394,"eufaula, alabama, usa",22.0
63595,"chesapeake, virginia,",41.0
63854,"waterloo, ontario, canada",45.0
63938,"northwest, iowa, usa",
64310,"smyrna, georgia, usa",46.0
64436,"san ramon, california, usa",36.0
64440,"atlanta, georgia, usa",34.0
64679,"buffalo grove, illinois, usa",
64946,"normal, illinois, usa",34.0
65208,"san diego, california, usa",30.0
65228,"uniontown, ohio, usa",58.0
65258,"saginaw, michigan, usa",42.0
65584,"tulsa, oklahoma, usa",26.0
65663,"syracuse, new york, usa",32.0
66073,"aptos, california, usa",28.0
66323,"factoryville, pennsylvania, usa",34.0
66385,"round rock, texas, usa",
66443,"pierrefonds, quebec, canada",29.0
66574,"astoria, new york, usa",27.0
66680,"orange park, florida, usa",67.0
66789,"san jose, california, usa",55.0
66878,"fort myers, florida, usa",42.0
66942,"kuching, sarawak, malaysia",31.0
67034,"vero beach, florida, usa",57.0
67270,"ste adele, quebec, canada",
67403,"danbury, connecticut, usa",31.0
67515,"oakland, california, usa",45.0
67547,"sierra madre, california, usa",42.0
67591,"edmonton, alberta,",
67663,"wrightstown, ,",47.0
67840,"houston, texas, usa",50.0
67930,"colton, california,",
67997,"lincoln city, oregon, usa",53.0
68156,"brooklyn, new york, usa",34.0
68185,"virginia beach, virginia, usa",22.0
68256,"chickasha, oklahoma, usa",28.0
68555,"bad axe, michigan, usa",
68568,"lewes, delaware, usa",46.0
68943,"coventry, connecticut, usa",
68984,"aurora, illinois, usa",26.0
69042,"drayton valley, alberta, canada",55.0
69078,"new york, new york, usa",42.0
69211,"oviedo, florida, usa",
69232,"mooresville, north carolina, usa",55.0
69355,"syracuse, new york, usa",
69378,"mililani, hawaii, usa",46.0
69389,"nebraska city, nebraska, usa",29.0
69405,"ede, gelderland, netherlands",36.0
69684,"philadelphia, pennsylvania, usa",33.0
69697,"west sacramento, california, usa",24.0
69721,"minneapolis, minnesota, usa",32.0
69933,"perkasie, pennsylvania, usa",
69971,"pinehurst, north carolina, usa",43.0
70052,"st. john`s, ontario, canada",30.0
70065,"winnipeg, manitoba, canada",19.0
70183,"carbonear, newfoundland, canada",25.0
70222,"ottawa, ontario, canada",56.0
70415,"crescent city, florida, usa",57.0
70541,"hamburg, hamburg, germany",26.0
70594,"prince george, british columbia, canada",53.0
70666,"warwick, rhode island, usa",18.0
70931,"new haven, connecticut, usa",36.0
70999,"hauppauge, long island, new york, usa",57.0
71207,"oktaha, oklahoma, usa",
71234,"cumberland, maryland, usa",30.0
71490,"west los angeles, california, usa",23.0
71568,"port coquitlam, british columbia, canada",28.0
71712,"valley center, kansas, usa",26.0
71853,"somerville, massachusetts, usa",23.0
72183,"seattle, washington, usa",
72214,"ottawa, ontario, canada",40.0
72238,"durham, maine, usa",
72352,"samieira, pontevedra, spain",49.0
72523,"grand island, new york, usa",
72531,"clovis, california, usa",48.0
72990,"watertown, new york, usa",31.0
73044,"sudbury, ontario, canada",
73157,"brush valley, pennsylvania, usa",20.0
73196,"little rock, arkansas, usa",35.0
73330,"seattle, washington, usa",29.0
73394,"san diego, california, usa",33.0
73588,"astoria, new york, usa",38.0
73651,"grapevine, texas, usa",
73681,"almada, setÃºbal, portugal",27.0
73923,"montrose, california, usa",29.0
74056,"san gabriel, california, usa",24.0
74286,"pampa, texas, usa",23.0
74328,"capitola, california, usa",40.0
74689,"seattle, washington, usa",39.0
74691,"birmingham, alabama, usa",49.0
74709,"macomb, michigan, usa",21.0
74758,"turners falls, massachusetts, usa",24.0
74833,"hamburg, hamburg, germany",35.0
